cs_j4689_PRSS45,PRSS45
cs_q4684_SLC25A11,SLC25A11
cs_j9823_MAFF,MAFF
cs_q10904_IER3IP1,IER3IP1
cs_b11474_NOL7,NOL7
cs_j3521_LPGAT1,LPGAT1
cs_j11496_PANK2,PANK2
cs_j12141_ISOC1,ISOC1
cs_q9009_TTC30A,TTC30A
cs_b10209_ZNF212,ZNF212
cs_j7542_MSI2,MSI2
cs_b6425_LPCAT1,LPCAT1
cs_j7179_MBIP,MBIP
cs_q4705_DDRGK1,DDRGK1
cs_b5241_NUFIP1,NUFIP1
cs_q8913_CCDC76,CCDC76
cs_b8080_TRNAU1AP,TRNAU1AP
cs_q10936_CKS2,CKS2
cs_q8393_FMO2,FMO2
cs_q8550_NCF2,NCF2
cs_b9059_TBRG4,TBRG4
cs_q5038_MBIP,MBIP
cs_q7766_ALOX5,ALOX5
cs_j9882_NENF,NENF
cs_b9018_JMY,JMY
cs_j13081_RNASE3,RNASE3
cs_b7673_TNFRSF6B,TNFRSF6B
cs_q6400_RNASE13,RNASE13
cs_q10505_C10orf111,C10orf111
cs_b9569_CTRB2,CTRB2
cs_j3902_TPI1,TPI1
cs_b12951_ZNF786,ZNF786
cs_j5453_CLIC4,CLIC4
cs_b10699_RAB11FIP1,RAB11FIP1
cs_q7158_LRRC40,LRRC40
cs_b11623_TAP2,TAP2
cs_b7218_RNFT1,RNFT1
cs_b8843_TUBE1,TUBE1
cs_j6581_SORD,SORD
cs_q9095_C2,C2
cs_b12965_CDH8,CDH8
cs_j10798_DPYSL5,DPYSL5
cs_j4213_GGPS1,GGPS1
cs_q6659_FNDC4,FNDC4
cs_q5346_C8orf58,C8orf58
cs_b11022_MRPL38,MRPL38
cs_b6773_ZNF114,ZNF114
cs_j5521_SNRPA1,SNRPA1
cs_q9372_C17orf60,C17orf60
cs_b4817_RPA2,RPA2
cs_j9261_ZNF419,ZNF419
cs_b12229_REG4,REG4
cs_j13894_YKT6,YKT6
cs_b4186_FAM3D,FAM3D
cs_b13078_STAT5A,STAT5A
cs_j7917_DBF4B,DBF4B
cs_b3818_CIAPIN1,CIAPIN1
cs_j12659_VPS53,VPS53
cs_j10556_TRPM8,TRPM8
cs_b6791_PDPK1,PDPK1
cs_j10363_REEP1,REEP1
cs_b12823_CD69,CD69
cs_j12865_AGR3,AGR3
cs_q10640_TRIM55,TRIM55
cs_j13030_MDM4,MDM4
cs_j11987_BOLA1,BOLA1
cs_b11192_LRP2BP,LRP2BP
cs_b11515_B4GALT4,B4GALT4
cs_q6849_ALDH1B1,ALDH1B1
cs_j11089_TRMT12,TRMT12
cs_b10168_C10orf71,C10orf71
cs_j9858_COMMD3,COMMD3
cs_j11534_WDR34,WDR34
cs_b3595_IYD,IYD
cs_b7678_CAMLG,CAMLG
cs_q7515_GLT25D2,GLT25D2
cs_b12010_MYH9,MYH9
cs_j9955_COMMD3,COMMD3
cs_j3561_HAO1,HAO1
cs_j7912_PDIA6,PDIA6
cs_j10922_TBCK,TBCK
cs_j7987_SERINC2,SERINC2
cs_q9658_SAMD15,SAMD15
cs_q9978_TCEA2,TCEA2
cs_j10895_ASNS,ASNS
